Brand,Model,Model_Description,Price,Engine_Size
Land Rover,Defender,90 D300 X,1761600.0,
Mercedes-Benz,GLE400d,4Matic,1761993.0,
Land Rover,Defender,90 D300 75 Years / 75th Limited Edition,1762600.0,
Mercedes-Benz,GLE450,4Matic AMG Line,1777320.0,
BMW,X6,xDrive40i M Sport,1777850.0,
Land Rover,Range Rover Velar,P340 Dynamic HSE,1788000.0,
Porsche,Cayenne,S Coupé,1790000.0,
Land Rover,Defender,130 P400 X-Dynamic HSE,1798500.0,
Land Rover,Defender,90 P400 X,1799700.0,
Land Rover,Defender,110 D300 75 Years / 75th Limited Edition,1801600.0,
Land Rover,Defender,130 P400 First Edition,1803500.0,
Land Rover,Range Rover Velar,D300 Dynamic HSE,1809000.0,
Land Rover,Defender,110 P400e X-Dynamic SE,1811300.0,
Land Rover,Defender,90 P400 75 Years / 75th Limited Edition,1811700.0,
Jaguar,F-Pace,P400e AWD R-Dynamic SE,1815000.0,
Land Rover,Defender,110 D300 X,1826600.0,
Mercedes-Benz,GLE400d,4Matic AMG Line,1837793.0,
Land Rover,Defender,110 P400 75 Years / 75th Limited Edition,1845700.0,
Porsche,Cayenne,GTS nan,1851000.0,
Land Rover,Discovery,D300 R-Dynamic HSE,1860900.0,
Land Rover,Discovery,P360 R-Dynamic HSE,1861700.0,
Jaguar,F-Pace,P400e AWD R-Dynamic HSE,1869000.0,
Land Rover,Defender,110 P400e X-Dynamic HSE,1874300.0,
Land Rover,Defender,110 P400 X,1875700.0,
Toyota,Land Cruiser,300 3.3D ZX,1892000.0,3.3
Land Rover,Range Rover Velar,P400e Dynamic SE,1905000.0,
Porsche,Cayenne,S Coupé Platinum Edition,1912000.0,
Land Rover,Discovery,D300 Metropolitan Edition,1916900.0,
Land Rover,Discovery,P360 Metropolitan Edition,1917700.0,
Porsche,Cayenne,GTS Coupé,1922000.0,
Land Rover,Defender,130 D300 X,1924600.0,
Toyota,Land Cruiser,300 3.5T ZX,1925800.0,3.5
Alfa,Romeo Stelvio,Quadrifoglio Q4,1936900.0,
Toyota,Land Cruiser,300 3.3D GR-Sport,1941700.0,3.3
Porsche,Cayenne,e-hybrid nan,1949000.0,
Land Rover,Defender,110 P400e X,1949300.0,
Maserati,Grecale,Modena,1950000.0,
BMW,X7,xDrive40d Design Pure Excellence,1962457.0,
Land Rover,Defender,130 P400 X,1974500.0,
Toyota,Land Cruiser,300 3.5T GR-Sport,1974900.0,3.5
BMW,X5,M50d,1984573.0,
Jaguar,F-Pace SVR,,1995000.0,
BMW,X5,M50i,1995502.0,
Land Rover,Range Rover Velar,P400e Dynamic HSE,2008000.0,
Land Rover,Range Rover Sport,D350 Dynamic S,2020100.0,
Land Rover,Range Rover Sport,P400 Dynamic S,2023600.0,
BMW,X7,xDrive40d M Sport,2037457.0,
Mercedes-Benz,GLS400d,4Matic,2041243.0,
Audi,e-tron,55 quattro S line,2045000.0,
Mercedes-Benz,GLE400d Coupé,4Matic AMG Line,2064107.0,
BMW,X3,M competition,2072618.0,
Land Rover,Range Rover Sport,D350 Dynamic SE,2081000.0,
Land Rover,Range Rover Sport,P400 Dynamic SE,2084500.0,
Porsche,Cayenne,e-hybrid Platinum Edition,2089000.0,
BMW,X6,M50d,2104573.0,
Audi,e-tron Sportback,55 quattro S line,2115000.0,
BMW,X6,M50i,2115502.0,
Porsche,Cayenne,e-hybrid Coupé Platinum Edition,2119000.0,
BMW,X4,M competition,2162618.0,
Mercedes-Benz,GLS400d,4Matic AMG Line,2167343.0,
Maserati,Levante,GT,2175000.0,
Mercedes-AMG,GLE53,4Matic+,2180414.0,
Land Rover,Range Rover Sport,D350 Dynamic HSE,2208100.0,
Mercedes-AMG,GLE53 Coupé,4Matic+,2218611.0,
Jaguar,I-Pace,EV400 AWD R-Dynamic HSE,2249000.0,
BMW,iX,xDrive50,2270000.0,
Land Rover,Range Rover Sport,D350 Autobiography,2271200.0,
Mercedes-AMG,GLC63 S,Coupé 4Matic+,2290522.0,
Land Rover,Range Rover Sport,D350 First Edition,2300600.0,
BMW,X7,M60i xDrive,2316574.0,
Mercedes-Benz,GLS580,4Matic,2338552.0,
Lexus,LX,500d,2341000.0,
Lexus,LX,500d F Sport,2350200.0,
Lexus,LX,600 F Sport,2383800.0,
Lexus,LX,600,2398000.0,
